16s_accession	gram_stain	cell_shape	motility	ph_optimum	ph_optimum_min	ph_optimum_max	salinity_optimum	salinity_midpoint	salinity_min	salinity_max	ph_min	ph_max	oxygen_preference
AB554231.1.1489	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
AB554230.1.1487	negative	rod-shaped	no										anaerobe
AB608051.1.1488	positive	rod-shaped	no					3.0	3.0	3.0	4.0	8.0	facultative_anaerobe
AB616133.1.1466													anaerobe
JX657043.1.1256	negative	rod-shaped	no	6.4	6.4	6.4	0.5	0.5	0.0	1.0	6.0	6.6	aerobe
AB558487.1.1504													anaerobe
AB741688.1.1324	negative	rod-shaped	yes										facultative_anaerobe
AB566418.1.1473	positive	rod-shaped											anaerobe
AB601001.1.1469	positive	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
AB598741.1.1413													
LT623894.1.1472													
AB680625.1.1447													
KR185326.1.1423													
KF785806.1.1418													
KY595972.1.1342	positive	rod-shaped	no										
KT886066.1.1491	negative	mixed	no	8.0	7.0	9.0					6.0	9.0	anaerobe
AB680533.1.1482	positive	coccus-shaped	no										facultative_anaerobe
AB681297.1.1474	positive	coccus-shaped	no					6.5	6.5	6.5			facultative_anaerobe
AB681219.1.1466	positive	rod-shaped	no										facultative_anaerobe
AB681920.1.1462													
AB626049.1.1495	positive	rod-shaped	no										facultative_anaerobe
AB639144.1.1469	negative	rod-shaped	no										anaerobe
AB649277.1.1490													anaerobe
AB861981.1.1489													
MH094643.1.1391	negative	rod-shaped	yes					1.0	0.0	2.0	6.0	8.0	facultative_anaerobe
AY693999.1.1366	negative	rod-shaped	yes				0.35	0.675	0.1	1.25			aerobe
HE586270.1.1301	positive	rod-shaped	no					4.0	0.0	8.0			facultative_anaerobe
GU585578.1.1293		coccus-shaped	no										anaerobe
AB920828.1.1412													
GU938835.1.1463													anaerobe
HE586273.1.1306													
AB910337.1.1492	negative	rod-shaped	no	7.5	7.0	8.0					4.0	8.0	
AY753654.1.1485	positive	rod-shaped	no	8.5	8.5	8.5	3.0	3.0	0.0	6.0	7.5	10.0	aerobe
AB916501.1.1486	positive	coccus-shaped	no										anaerobe
HE962386.1.1485													aerobe
GU993268.1.1287													anaerobe
AY769997.1.1470	positive	coccus-shaped	no	7.0	7.0	7.0	2.0	2.0	2.0	2.0	7.0	7.0	facultative_anaerobe
AY035891.1.1497	positive	rod-shaped	no										facultative_anaerobe
AY033815.1.1294	positive	coccus-shaped	no					6.5	6.5	6.5			facultative_anaerobe
AF000221.1.1418	negative	rod-shaped	yes										
AY850119.1.1396	negative	mixed	no										anaerobe
HG000667.1.1477	positive		yes										anaerobe
HE983827.1.1428	positive	rod-shaped	no										aerobe
AY049713.1.1456	negative	coccus-shaped	no										anaerobe
AY974071.1.1440	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
AY974070.1.1396	negative	rod-shaped											anaerobe
AE015928.3034714.3036195													anaerobe
AF125590.1.1459													
HF679039.1.1450	positive	rod-shaped	no					5.0	5.0	5.0	4.0	4.0	facultative_anaerobe
AY136666.1.1483	negative	mixed	no										anaerobe
AF035054.1.1416	negative	rod-shaped	yes					0.0	0.0	0.0			aerobe
AY167820.1.1339	positive	rod-shaped	yes				1.0	1.0	0.0	2.0			aerobe
AY026751.1.1219													anaerobe
AY033814.1.1295	positive	coccus-shaped	no										facultative_anaerobe
M23732.1.1543													anaerobe
M23939.1.1462													
KX008965.1.1521	positive	coccus-shaped	yes	9.0	9.0	9.0	4.0	9.0	3.0	15.0	7.0	9.0	aerobe
KU878872.1.1407	positive	coccus-shaped	no					4.0	0.0	8.0			aerobe
AF186072.1.1492	negative	coccus-shaped	no										anaerobe
AF032127.1.1469													
AF175403.1.1471	positive	coccus-shaped	no										facultative_anaerobe
AF129443.1.1436	negative	oval-shaped	no										facultative_anaerobe
AF125593.1.1421													
MH697664.1.1376													
KU744405.1.1460	positive	mixed	no										anaerobe
KU744404.1.1459	positive	rod-shaped	no										anaerobe
AF338413.1.1408		coccus-shaped	no										anaerobe
AF129444.1.1436	negative	rod-shaped	no										facultative_anaerobe
AF101240.1.1465	positive	rod-shaped	no										anaerobe
KX021300.1.1561	negative	coccus-shaped	no	6.5	6.5	6.5					5.5	7.5	anaerobe
U26420.1.1456	negative	rod-shaped	yes					5.0	0.0	10.0			
AF207074.1.1392	negative	rod-shaped	no										
KU999999.1.1363	negative	rod-shaped	no	7.75	7.0	8.5					4.0	9.0	anaerobe
AF206305.1.1461													anaerobe
AF231131.1.1494													facultative_anaerobe
AF192152.1.1542													anaerobe
U12463.1.1454													
MK101438.1.1464													
U13042.1.1434													anaerobe
AF439641.1.1400	negative	coccus-shaped	no										anaerobe
AF473834.1.1411	negative	rod-shaped	no										anaerobe
U20776.1.1231	negative	rod-shaped	no					0.0	0.0	0.0			
AF348748.1.1327	negative	rod-shaped	yes										
U16147.37.1417													anaerobe
AF372092.1.1341	negative	rod-shaped	yes										
AF432082.1.1445													anaerobe
AF491836.1.1453													
AF491835.1.1454													
AF473836.1.1409	negative	coccus-shaped	no										anaerobe
AF479674.1.1543	negative	rod-shaped	no										anaerobe
AF473837.1.1440	negative	mixed	no										anaerobe
AF481227.1.1485	negative	rod-shaped	no										anaerobe
AF414809.1.1363													anaerobe
AF491832.1.1454	positive	rod-shaped	no										anaerobe
AF487679.1.1504													anaerobe
KX462878.1.1523													
KX344119.1.1453													
AF109792.1.1461													aerobe
CP030777.2701417.2702934													
DQ174155.1.1339	negative	rod-shaped	yes										anaerobe
D85438.1.1376													
DQ445859.1.1238													anaerobe
