study_id	num_ASV	num_samples	density_percent
PRJEB3360	1155	166	8.8692
PRJNA686801	27056	571	0.7865
PRJEB23120	2068	130	3.3990
qiita_11484	3154	97	4.9441
PRJNA481243	10284	1147	0.6033
PRJEB38765	6987	236	2.9882
PRJNA591924	1511	90	7.2902
PRJNA727279	14730	1197	1.6769
PRJEB36789	4544	153	7.3312
PRJNA328016	2126	66	1.9492
PRJNA323360	1829	79	7.7479
PRJEB15633	438	83	5.8480
PRJNA516251	1922	54	6.5846
PRJNA533720	2874	59	6.2277
PRJNA342173	4768	142	3.1244
PRJNA528344	2286	459	1.8122
PRJNA382644	2058	26	17.4236
PRJNA643297	3116	106	4.8072
PRJNA412411	2332	279	5.8548
PRJNA531921	1207	81	5.9243
PRJNA576564	24345	207	1.2795
PRJNA589723	11299	255	1.9554
PRJNA489137	6792	120	1.0656
PRJNA761978	6449	466	1.3315
PRJNA349809	1325	105	5.1141
PRJEB18947	10610	919	2.2891
PRJNA728515	25174	100	1.6811
PRJEB31354	4635	116	5.2226
PRJNA724686	14096	100	1.2595
PRJNA593062	2200	363	3.6660
PRJEB27517	18937	760	1.0786
PRJNA668831	4844	97	1.6330
PRJNA708262	1584	260	6.5290
PRJEB22977	13403	84	3.0959
PRJNA904946	2229	103	5.7603
PRJNA414072	30101	1816	0.3631
PRJEB40733	17520	168	2.6874
PRJNA606913	2913	99	4.2842
PRJNA421371	6526	80	5.2954
PRJEB39436	1984	129	2.3178
PRJNA609050	2018	72	10.0319
PRJNA631001	2548	400	3.2795
PRJNA685746	31509	3481	0.6923
PRJNA562529	4237	225	2.0207
PRJNA390475	7281	51	4.6842
PRJNA633160	3705	536	4.0299
PRJDB5316	2965	243	1.7813
PRJNA607574	25362	3524	0.4986
PRJEB32930	43950	898	0.2930
PRJEB14084	3521	110	3.1760
PRJNA510835	4073	210	5.1842
PRJEB28350	3135	195	4.0527
qiita_12382	6336	131	5.1026
PRJNA579491	3156	95	3.3387
PRJNA451398	4073	203	2.4092
PRJNA709129	2951	168	3.4647
PRJNA418903	2804	76	6.4433
PRJEB28609	1787	20	13.5311
PRJEB6702	8078	525	3.1750
PRJEB30495	3610	60	6.2114
PRJEB21318	6081	161	6.0399
PRJNA237362	9656	1379	0.9892
PRJNA1103839	4455	61	5.2937
PRJEB18471	6498	672	3.4646
PRJNA729511	12566	3941	0.5839
PRJNA610934	2679	51	8.3445
PRJNA498128	5394	428	5.8688
PRJNA432222	668	76	1.5167
PRJDB9239	3864	120	4.7052
PRJEB27306	1310	57	10.2933
PRJEB25715	3790	57	5.2275
PRJNA533120	2128	82	6.8317
PRJDB10528	7441	320	1.8485
PRJEB44113	5592	116	2.9158
PRJNA659589	12781	237	1.6564
PRJNA573829	6805	122	2.9173
PRJNA706153	2999	87	1.8907
PRJEB40569	8957	267	2.4157
PRJNA678221	6784	802	3.0824
PRJNA369083	1649	85	10.8843
PRJEB35994	5025	114	4.2564
PRJEB44169	4160	91	4.7163
PRJNA487119	6877	92	1.6243
PRJNA307231	9694	344	1.3310
PRJNA588353	5205	48	5.4687
PRJNA630848	467	50	6.7109
PRJNA317493	684	112	7.5567
PRJNA558158	3983	97	5.1236
PRJEB39037	4598	46	5.5676
PRJEB48095	2813	123	5.3376
PRJEB30521	8002	125	2.2557
PRJNA383300	2067	94	7.2924
PRJNA529598	5097	483	2.3603
PRJNA880407	5852	94	3.1280
PRJDB9469	4263	1070	1.1134
PRJNA603512	4724	439	2.5137
PRJNA644496	15858	186	0.7997
PRJNA434133	10689	278	2.3225
PRJEB40600	14358	116	4.8472
PRJNA516701	2434	169	3.0310
