sample_id	project	instrument	geo_loc_name	region	seq_region	sample_type
10532.632924ab.bf85.4b8b.b603.f338294a0d9d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.633bc9a7.b25f.475a.9bd3.858212b39d7d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.6519888d.bb69.495b.b4b8.07d0d4333455	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.65ba3877.ad29.4afc.aaec.bcf3544f5f75	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.65fcbe4f.1f77.4216.95c1.9991e5f2499a	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.6618c914.037e.4c9b.b2c4.18d98a529b85	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.66c64e22.7b83.4740.bf41.aa1553f24091	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.67600aee.3bd9.443f.9456.fe673ba24844	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.67b4e332.53fc.42c9.bc70.ef7cfbed28f1	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.67c048b1.3037.4c73.9380.32c657119b7b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.67e18471.f314.4a13.a71f.65010aed2058	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.67f932e7.6a3e.4ab2.9627.0fb5430bac23	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.683047f6.fe17.477f.9950.a6190ca34054	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.68fc23c8.68cc.4b31.a3f4.0411079d673a	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.69c1e627.b5c7.4003.88b7.934c5f77f079	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.69d85346.ed6d.49d0.93cf.fcb494bddb83	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.6a552f98.0cab.4605.aa1c.401c6fab4a54	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
