terms,level_1,level_2,level_3,type,Number
metabolite_utilization.myo-noinositol.hydrolysis,metabolite_utilization,hydrolysis,myo-noinositol,0,161
metabolite_utilization.L-glutamate.degradation,metabolite_utilization,degradation,L-glutamate,0,133
metabolite_utilization.melezitose.builds_acid_from,metabolite_utilization,builds_acid_from,melezitose,0,121
metabolite_utilization.raffinose.fermentation,metabolite_utilization,fermentation,raffinose,0,118
metabolite_utilization.nitrite.reduction,metabolite_utilization,reduction,nitrite,0,117
metabolite_utilization.D-mannitol.builds_acid_from,metabolite_utilization,builds_acid_from,D-mannitol,0,111
metabolite_utilization.D-mannose.fermentation,metabolite_utilization,fermentation,D-mannose,0,107
metabolite_utilization.glycerol.builds_acid_from,metabolite_utilization,builds_acid_from,glycerol,0,97
metabolite_production.indole.,metabolite_production,,indole,0,97
metabolite_utilization.D-arabitol.builds_acid_from,metabolite_utilization,builds_acid_from,D-arabitol,0,95
metabolite_utilization.L-arabinose.builds_acid_from,metabolite_utilization,builds_acid_from,L-arabinose,0,95
metabolite_utilization.L-rhamnose.builds_acid_from,metabolite_utilization,builds_acid_from,L-rhamnose,0,94
metabolite_utilization.raffinose.builds_acid_from,metabolite_utilization,builds_acid_from,raffinose,0,90
metabolite_utilization.gelatin.hydrolysis,metabolite_utilization,hydrolysis,gelatin,0,89
metabolite_utilization.D-tagatose.builds_acid_from,metabolite_utilization,builds_acid_from,D-tagatose,0,86
metabolite_utilization.esculin.hydrolysis,metabolite_utilization,hydrolysis,esculin,0,85
metabolite_utilization.erythritol.builds_acid_from,metabolite_utilization,builds_acid_from,erythritol,0,83
metabolite_utilization.L-xylose.builds_acid_from,metabolite_utilization,builds_acid_from,L-xylose,0,83
metabolite_utilization.galactitol.builds_acid_from,metabolite_utilization,builds_acid_from,galactitol,0,82
metabolite_utilization.glycogen.builds_acid_from,metabolite_utilization,builds_acid_from,glycogen,0,82
metabolite_utilization.inulin.builds_acid_from,metabolite_utilization,builds_acid_from,inulin,0,82
metabolite_utilization.L-arabitol.builds_acid_from,metabolite_utilization,builds_acid_from,L-arabitol,0,82
metabolite_utilization.trehalose.builds_acid_from,metabolite_utilization,builds_acid_from,trehalose,0,82
metabolite_utilization.methyl_beta-D-xylopyranoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_beta-D-xylopyranoside,0,81
metabolite_utilization.ribitol.builds_acid_from,metabolite_utilization,builds_acid_from,ribitol,0,81
metabolite_utilization.xylitol.builds_acid_from,metabolite_utilization,builds_acid_from,xylitol,0,81
metabolite_utilization.D-sorbitol.builds_acid_from,metabolite_utilization,builds_acid_from,D-sorbitol,0,80
metabolite_utilization.methyl_alpha-D-mannoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_alpha-D-mannoside,0,80
metabolite_utilization.D-fucose.builds_acid_from,metabolite_utilization,builds_acid_from,D-fucose,0,79
metabolite_utilization.cellobiose.builds_acid_from,metabolite_utilization,builds_acid_from,cellobiose,0,78
metabolite_utilization.myo-noinositol.builds_acid_from,metabolite_utilization,builds_acid_from,myo-noinositol,0,78
metabolite_utilization.D-lyxose.builds_acid_from,metabolite_utilization,builds_acid_from,D-lyxose,0,77
metabolite_utilization.L-sorbose.builds_acid_from,metabolite_utilization,builds_acid_from,L-sorbose,0,77
