task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
lodo,attn,BD,HQ808998.1.1217,Ctrl,-0.1534756425730953,-0.1534756425730953,-0.1534756425730953
lodo,attn,BD,DQ808102.1.1318,Ctrl,-0.1475362538514405,-0.1475362538514405,-0.1475362538514405
lodo,attn,BD,JQ465376.1.1220,Ctrl,-0.1395102420583694,-0.1395102420583694,-0.1395102420583694
lodo,attn,BD,JF021752.1.1274,Ctrl,-0.1252095675945705,-0.1252095675945705,-0.1252095675945705
lodo,attn,BD,DQ807506.1.1286,Ctrl,-0.1250295905840471,-0.1250295905840471,-0.1250295905840471
lodo,attn,BD,HQ807284.1.1274,Ctrl,-0.1212158878256391,-0.1212158878256391,-0.1212158878256391
lodo,attn,BD,DQ809291.1.1378,Ctrl,-0.1208994511152163,-0.1208994511152163,-0.1208994511152163
lodo,attn,BD,FPLO01001141.16.1394,Ctrl,-0.117807521394601,-0.117807521394601,-0.117807521394601
lodo,attn,BD,JQ467834.1.1286,Ctrl,-0.1145598063847534,-0.1145598063847534,-0.1145598063847534
lodo,attn,BD,JX030308.1.1232,Ctrl,-0.1133430356155457,-0.1133430356155457,-0.1133430356155457
lodo,attn,BD,FJ512259.1.1422,Ctrl,-0.113130919416124,-0.113130919416124,-0.113130919416124
lodo,attn,BD,DQ824361.1.1287,Ctrl,-0.1120147366172879,-0.1120147366172879,-0.1120147366172879
lodo,attn,BD,DQ802353.1.1286,Ctrl,-0.1053206988091709,-0.1053206988091709,-0.1053206988091709
lodo,attn,BD,DQ794427.1.1242,Ctrl,-0.1035292565323122,-0.1035292565323122,-0.1035292565323122
lodo,attn,BD,GQ492466.1.1344,Ctrl,-0.1022985346952134,-0.1022985346952134,-0.1022985346952134
lodo,attn,BD,GQ493692.1.1234,Ctrl,-0.0978213737384244,-0.0978213737384244,-0.0978213737384244
lodo,attn,BD,DQ801609.1.1306,Ctrl,-0.0965864981553092,-0.0965864981553092,-0.0965864981553092
lodo,attn,BD,GQ448499.1.1381,Ctrl,-0.0963082335939462,-0.0963082335939462,-0.0963082335939462
lodo,attn,BD,GQ897435.1.1479,Ctrl,-0.0956852099867236,-0.0956852099867236,-0.0956852099867236
lodo,attn,BD,KF842080.1.1260,Ctrl,-0.0954224331328483,-0.0954224331328483,-0.0954224331328483
lodo,attn,BD,DQ798603.1.1202,Ctrl,-0.0950904900500616,-0.0950904900500616,-0.0950904900500616
lodo,attn,BD,DQ800682.1.1204,Ctrl,-0.0940931814416518,-0.0940931814416518,-0.0940931814416518
lodo,attn,BD,KX130890.1.1202,Ctrl,-0.0938720523007729,-0.0938720523007729,-0.0938720523007729
lodo,attn,BD,KY780347.1.1200,Ctrl,-0.0932445870024301,-0.0932445870024301,-0.0932445870024301
lodo,attn,BD,DQ824266.1.1288,Ctrl,-0.0925038927819429,-0.0925038927819429,-0.0925038927819429
lodo,attn,BD,FJ369668.1.1239,Ctrl,-0.0918659139375593,-0.0918659139375593,-0.0918659139375593
lodo,attn,BD,DQ807031.1.1284,Ctrl,-0.0912231050638743,-0.0912231050638743,-0.0912231050638743
lodo,attn,BD,JF135466.1.1371,Ctrl,-0.0903958025501087,-0.0903958025501087,-0.0903958025501087
lodo,attn,BD,DQ823787.1.1236,Ctrl,-0.0881404319693638,-0.0881404319693638,-0.0881404319693638
lodo,attn,BD,FJ366838.1.1357,Ctrl,-0.0881389709274689,-0.0881389709274689,-0.0881389709274689
lodo,attn,BD,JQ608027.1.1424,Ctrl,-0.0866287492067851,-0.0866287492067851,-0.0866287492067851
lodo,attn,BD,FJ362935.1.1246,Ctrl,-0.0860867654088093,-0.0860867654088093,-0.0860867654088093
lodo,attn,BD,AY981913.1.1349,Ctrl,-0.0854738187675441,-0.0854738187675441,-0.0854738187675441
lodo,attn,BD,FJ370173.1.1369,Ctrl,-0.0848013400596406,-0.0848013400596406,-0.0848013400596406
lodo,attn,BD,EF071257.1.1224,Ctrl,-0.0846954954922764,-0.0846954954922764,-0.0846954954922764
lodo,attn,BD,DQ797516.1.1343,Ctrl,-0.0846937870696416,-0.0846937870696416,-0.0846937870696416
lodo,attn,BD,DQ809069.1.1219,Ctrl,-0.0846828084082923,-0.0846828084082923,-0.0846828084082923
lodo,attn,BD,JQ190854.1.1350,Ctrl,-0.0846712709639605,-0.0846712709639605,-0.0846712709639605
lodo,attn,BD,AY985779.1.1355,Ctrl,-0.084261565431569,-0.084261565431569,-0.084261565431569
lodo,attn,BD,JF058121.1.1279,Ctrl,-0.0841285452387873,-0.0841285452387873,-0.0841285452387873
lodo,attn,BD,DQ808753.1.1287,Ctrl,-0.0839484982465816,-0.0839484982465816,-0.0839484982465816
lodo,attn,BD,GQ492318.1.1347,Ctrl,-0.0832821592299566,-0.0832821592299566,-0.0832821592299566
lodo,attn,BD,GQ492847.1.1200,Ctrl,-0.0828817097935151,-0.0828817097935151,-0.0828817097935151
lodo,attn,BD,GQ003913.1.1349,BD,0.1213059949638765,0.1213059949638765,0.1213059949638765
lodo,attn,BD,DQ795411.1.1205,BD,0.1216387038742859,0.1216387038742859,0.1216387038742859
lodo,attn,BD,DQ174182.1.1339,BD,0.1217893420827254,0.1217893420827254,0.1217893420827254
